CountryCode,CountryCode3,Country,CountrySubdivisionCode,CountrySubdivision,Latitude,Longitude
US,USA,UNITED STATES,AK,Alaska,63.08429,-152.00243
US,USA,UNITED STATES,AL,Alabama,32.99707,-86.68351
US,USA,UNITED STATES,AR,Arkansas,34.75139,-92.49282
US,USA,UNITED STATES,AZ,Arizona,34.30265,-111.93299
US,USA,UNITED STATES,CA,California,37.26904,-119.99399
US,USA,UNITED STATES,CO,Colorado,38.99619,-105.55008
US,USA,UNITED STATES,CT,Connecticut,41.52282,-72.66339
US,USA,UNITED STATES,DC,District of Columbia,38.89158,-77.01692
US,USA,UNITED STATES,DE,Delaware,38.86504,-75.41872
US,USA,UNITED STATES,FL,Florida,28.06654,-81.69403
US,USA,UNITED STATES,GA,Georgia,32.73458,-83.25196
US,USA,UNITED STATES,HI,Hawaii,19.59917,-155.42744
US,USA,UNITED STATES,IA,Iowa,41.9367,-93.14959
US,USA,UNITED STATES,ID,Idaho,43.77231,-114.14095
US,USA,UNITED STATES,IL,Illinois,40.01827,-89.51201
US,USA,UNITED STATES,IN,Indiana,39.94558,-86.44447
US,USA,UNITED STATES,KS,Kansas,38.49592,-98.3322
US,USA,UNITED STATES,KY,Kentucky,37.81926,-84.73751
US,USA,UNITED STATES,LA,Louisiana,30.98135,-91.64649
US,USA,UNITED STATES,MA,Massachusetts,42.18987,-72.0905
US,USA,UNITED STATES,MD,Maryland,39.38307,-77.2916
US,USA,UNITED STATES,ME,Maine,45.27213,-69.16112
US,USA,UNITED STATES,MI,Michigan,43.71713,-84.62736
US,USA,UNITED STATES,MN,Minnesota,46.05804,-93.37984
US,USA,UNITED STATES,MO,Missouri,38.29967,-92.49323
US,USA,UNITED STATES,MS,Mississippi,33.00329,-89.867
US,USA,UNITED STATES,MT,Montana,46.67686,-109.34202
US,USA,UNITED STATES,NC,North Carolina,35.23582,-80.39426
US,USA,UNITED STATES,ND,North Dakota,47.46543,-100.45589
US,USA,UNITED STATES,NE,Nebraska,41.49784,-100.0316
US,USA,UNITED STATES,NH,New Hampshire,43.58711,-71.64427
US,USA,UNITED STATES,NJ,New Jersey,40.75106,-74.73358
US,USA,UNITED STATES,NM,New Mexico,34.17154,-106.03953
US,USA,UNITED STATES,NV,Nevada,38.49783,-116.66005
US,USA,UNITED STATES,NY,New York,42.855,-76.0827
US,USA,UNITED STATES,OH,Ohio,40.19362,-82.73898
US,USA,UNITED STATES,OK,Oklahoma,35.31121,-97.21303
US,USA,UNITED STATES,OR,Oregon,44.11202,-120.53123
US,USA,UNITED STATES,PA,Pennsylvania,40.99325,-77.82293
US,USA,UNITED STATES,RI,Rhode Island,41.69207,-71.54832
US,USA,UNITED STATES,SC,South Carolina,33.6381,-80.56613
US,USA,UNITED STATES,SD,South Dakota,44.21601,-100.25869
US,USA,UNITED STATES,TN,Tennessee,35.83416,-86.31721
US,USA,UNITED STATES,TX,Texas,31.16954,-99.64994
US,USA,UNITED STATES,UT,Utah,39.5004,-111.5445
US,USA,UNITED STATES,VA,Virginia,37.99919,-78.24029
US,USA,UNITED STATES,VT,Vermont,43.99275,-72.47114
US,USA,UNITED STATES,WA,Washington,47.27163,-119.72183
US,USA,UNITED STATES,WI,Wisconsin,44.72084,-90.36871
US,USA,UNITED STATES,WV,West Virginia,38.92097,-80.29636
US,USA,UNITED STATES,WY,Wyoming,42.99858,-107.55203
